1	2	1	15/03/2019
2	4	2	20/05/2019
3	6	3	10/07/2019
4	8	4	25/08/2019
5	10	5	05/10/2019
6	12	6	15/12/2019
7	14	7	20/02/2020
8	16	8	12/03/2020
9	18	1	10/06/2020
10	20	2	25/09/2020
11	22	3	05/11/2020
12	24	4	15/01/2021
13	1	5	18/03/2021
14	3	6	10/05/2021
15	5	7	20/08/2021
16	7	8	30/09/2021
17	9	8	12/12/2021
18	11	7	05/03/2022
19	13	6	15/06/2022
20	15	5	20/08/2022
21	17	4	25/10/2022
22	19	3	10/12/2022
23	21	2	15/01/2023
24	23	1	28/03/2023
25	1	1	05/06/2023
26	3	2	18/08/2023
27	5	3	22/09/2023
28	7	4	10/11/2023
29	9	5	15/12/2023
30	11	6	20/01/2024
31	13	7	25/03/2024
32	15	8	10/05/2024
33	17	1	18/07/2024
34	19	2	28/09/2024
35	21	3	08/11/2024
36	23	4	25/12/2024
